VC:2f90039 BD:Jan 16 2014 SN:LGR-14-0083
                     Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,         RD1_us,      RD1_us_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
  08/04/2021 12:29:01.236,   2.041150e+00,   0.000000e+00,   2.486267e+04,   0.000000e+00,   4.049173e+02,   0.000000e+00,   2.093193e+00,   0.000000e+00,   4.152414e+02,   0.000000e+00,   1.400763e+02,   0.000000e+00,   2.311036e+01,   0.000000e+00,   2.265045e+01,   0.000000e+00,   1.012974e+01,   0.000000e+00,   7.273617e+00,   0.000000e+00,              3,              9,               
  08/04/2021 12:29:06.122,   2.040584e+00,   8.136536e-04,   2.511474e+04,   1.180113e+02,   4.052866e+02,   2.223013e-01,   2.093153e+00,   6.770003e-04,   4.157275e+02,   2.294921e-01,   1.400720e+02,   2.242504e-02,   2.312463e+01,   1.382183e-02,   2.268951e+01,   2.066267e-02,   1.013096e+01,   1.991990e-03,   7.270864e+00,   2.168617e-03,              3,             10,               
  08/04/2021 12:29:11.006,   2.040715e+00,   1.146411e-03,   2.535436e+04,   5.889103e+01,   4.050301e+02,   1.788993e-01,   2.093802e+00,   1.162919e-03,   4.155666e+02,   1.882774e-01,   1.400825e+02,   1.725587e-02,   2.320644e+01,   2.949676e-02,   2.275555e+01,   2.134024e-02,   1.012927e+01,   1.285998e-03,   7.273737e+00,   1.747452e-03,              3,             10,               
  08/04/2021 12:29:15.891,   2.040763e+00,   1.059399e-03,   2.556815e+04,   4.416047e+01,   4.048352e+02,   2.924503e-01,   2.094310e+00,   1.072717e-03,   4.154577e+02,   2.960638e-01,   1.400728e+02,   1.159158e-02,   2.323408e+01,   9.487593e-03,   2.282185e+01,   2.040043e-02,   1.012964e+01,   1.369655e-03,   7.273433e+00,   1.507379e-03,              3,             11,               
  08/04/2021 12:29:20.776,   2.040226e+00,   1.498075e-03,   2.578885e+04,   6.014353e+01,   4.044386e+02,   1.562726e-01,   2.094234e+00,   1.556450e-03,   4.151447e+02,   1.684540e-01,   1.400650e+02,   1.266154e-02,   2.318881e+01,   5.574988e-02,   2.288715e+01,   2.179287e-02,   1.013052e+01,   3.240583e-03,   7.275398e+00,   8.335199e-04,              3,             12,               
  08/04/2021 12:29:25.661,   2.040251e+00,   5.755306e-04,   2.589334e+04,   5.109108e+01,   4.042720e+02,   2.951650e-01,   2.094484e+00,   5.279216e-04,   4.150182e+02,   3.032796e-01,   1.400553e+02,   1.699453e-02,   2.323443e+01,   1.840003e-02,   2.295045e+01,   1.878121e-02,   1.013020e+01,   2.078782e-03,   7.275402e+00,   1.574806e-03,              3,             12,               
  08/04/2021 12:29:30.546,   2.040332e+00,   6.436239e-04,   2.599889e+04,   3.321059e+01,   4.041021e+02,   4.135174e-01,   2.094795e+00,   7.065014e-04,   4.148887e+02,   4.148569e-01,   1.400624e+02,   1.678136e-02,   2.323321e+01,   1.298126e-02,   2.301178e+01,   1.882080e-02,   1.013035e+01,   2.747278e-03,   7.273261e+00,   2.837831e-03,              3,             15,               
  08/04/2021 12:29:35.430,   2.039876e+00,   8.648426e-04,   2.612025e+04,   6.657962e+01,   4.037599e+02,   2.292301e-01,   2.094587e+00,   9.128587e-04,   4.145891e+02,   2.110614e-01,   1.400721e+02,   1.517982e-02,   2.321192e+01,   4.736555e-02,   2.307374e+01,   2.060761e-02,   1.012935e+01,   1.845178e-03,   7.274542e+00,   2.181320e-03,              3,              1,               
  08/04/2021 12:29:40.315,   2.040511e+00,   3.866026e-04,   2.615393e+04,   2.251024e+01,   4.038343e+02,   1.902022e-01,   2.095312e+00,   3.710735e-04,   4.146798e+02,   2.030728e-01,   1.400780e+02,   1.730904e-02,   2.324775e+01,   5.461876e-03,   2.313373e+01,   1.838496e-02,   1.012994e+01,   2.316029e-03,   7.274043e+00,   1.605272e-03,              3,              2,               
  08/04/2021 12:29:45.201,   2.039802e+00,   1.082319e-03,   2.623660e+04,   3.138669e+01,   4.035202e+02,   2.266600e-01,   2.094761e+00,   1.167576e-03,   4.143924e+02,   2.299460e-01,   1.400672e+02,   1.740765e-02,   2.323877e+01,   1.384367e-02,   2.319397e+01,   1.959611e-02,   1.013195e+01,   1.538308e-03,   7.275223e+00,   2.360138e-03,              3,              3,               
  08/04/2021 12:29:50.087,   2.040929e+00,   9.897481e-04,   2.631994e+04,   5.332820e+01,   4.030931e+02,   2.223930e-01,   2.096098e+00,   1.099147e-03,   4.139893e+02,   2.292114e-01,   1.400555e+02,   1.745129e-02,   2.325201e+01,   3.661430e-03,   2.325274e+01,   1.788795e-02,   1.012927e+01,   3.129679e-03,   7.275808e+00,   9.797816e-04,              3,              4,               
  08/04/2021 12:29:54.971,   2.041133e+00,   3.413552e-04,   2.633876e+04,   2.741624e+01,   4.031751e+02,   2.536096e-01,   2.096348e+00,   3.444082e-04,   4.140815e+02,   2.661452e-01,   1.400530e+02,   1.718685e-02,   2.325435e+01,   5.755860e-03,   2.330818e+01,   1.768759e-02,   1.013088e+01,   2.335372e-03,   7.275799e+00,   2.132783e-03,              3,              5,               
  08/04/2021 12:29:59.855,   2.043863e+00,   1.998043e-03,   2.639700e+04,   1.487543e+01,   4.541982e+02,   3.179015e+01,   2.099277e+00,   2.054843e-03,   4.665126e+02,   3.265058e+01,   1.400683e+02,   1.498443e-02,   2.324843e+01,   1.320434e-02,   2.336166e+01,   1.973243e-02,   1.013098e+01,   2.246645e-03,   7.274022e+00,   7.504110e-04,              3,              5,               
  08/04/2021 12:30:04.738,   2.046811e+00,   1.251053e-03,   2.642809e+04,   2.493606e+01,   4.521757e+02,   1.472154e+01,   2.102372e+00,   1.323322e-03,   4.644500e+02,   1.511279e+01,   1.400756e+02,   1.948348e-02,   2.325844e+01,   3.847713e-03,   2.342056e+01,   1.684165e-02,   1.012962e+01,   2.828820e-03,   7.275381e+00,   1.821191e-03,              3,              6,               
