"fDOY","CO2","CH4","PIECETAG","Volume","AmbT_C","Flag_CH4","Flag_CO2","CH4_notes","CO2_notes"
215.502453703704,581.5775,2.071029,"41922B",0.00011829,29.14678,"Y","Y","",""
215.502511574074,584.0068,2.06876,"41922B",0.00011829,29.14733,"Y","Y","",""
215.502569444444,587.2829,2.065388,"41922B",0.00011829,29.15392,"Y","Y","",""
215.502627314815,591.0519,2.064787,"41922B",0.00011829,29.16502,"Y","Y","",""
215.502673611111,594.8419,2.064059,"41922B",0.00011829,29.17025,"Y","Y","",""
215.502731481481,598.1436,2.063819,"41922B",0.00011829,29.17811,"Y","Y","",""
215.502789351852,601.6062,2.063541,"41922B",0.00011829,29.18178,"Y","Y","",""
215.502847222222,604.5872,2.062813,"41922B",0.00011829,29.19324,"Y","Y","",""
215.502905092593,608.4668,2.061924,"41922B",0.00011829,29.19827,"Y","Y","",""
215.502962962963,611.0125,2.061361,"41922B",0.00011829,29.20131,"Y","Y","",""
215.503020833333,613.3737,2.060919,"41922B",0.00011829,29.20916,"Y","Y","",""
215.503078703704,615.8421,2.061089,"41922B",0.00011829,29.21379,"Y","Y","",""
215.503136574074,618.1385,2.060269,"41922B",0.00011829,29.20857,"Y","Y","",""
215.50318287037,620.4522,2.06043,"41922B",0.00011829,29.21793,"Y","Y","",""
215.503240740741,622.4576,2.060591,"41922B",0.00011829,29.22089,"Y","Y","",""
215.503298611111,625.1503,2.061204,"41922B",0.00011829,29.23358,"Y","Y","",""
215.503356481481,626.8972,2.060358,"41922B",0.00011829,29.24038,"Y","Y","",""
215.503414351852,628.7542,2.060864,"41922B",0.00011829,29.24408,"Y","Y","",""
215.503472222222,631.0229,2.060664,"41922B",0.00011829,29.25016,"Y","Y","",""
215.503530092593,633.2309,2.060158,"41922B",0.00011829,29.25575,"Y","Y","",""
215.503587962963,635.4697,2.060277,"41922B",0.00011829,29.25947,"Y","Y","",""
215.503645833333,637.954,2.060851,"41922B",0.00011829,29.26431,"Y","Y","",""
215.50369212963,639.715,2.06014,"41922B",0.00011829,29.26263,"Y","Y","",""
215.50375,641.1897,2.06045,"41922B",0.00011829,29.2692,"Y","Y","",""
215.50380787037,643.0434,2.06002,"41922B",0.00011829,29.27389,"Y","Y","",""
215.503865740741,644.4074,2.059219,"41922B",0.00011829,29.27706,"Y","Y","",""
215.503923611111,646.283,2.059469,"41922B",0.00011829,29.27605,"Y","Y","",""
215.503981481481,647.5941,2.059851,"41922B",0.00011829,29.2817,"Y","Y","",""
215.504039351852,649.5176,2.060152,"41922B",0.00011829,29.28477,"Y","Y","",""
215.504097222222,651.27,2.059581,"41922B",0.00011829,29.29358,"Y","Y","",""
215.504143518519,652.5933,2.059317,"41922B",0.00011829,29.30382,"Y","Y","",""
215.504201388889,654.5778,2.060302,"41922B",0.00011829,29.31117,"Y","Y","",""
215.504259259259,655.8426,2.060292,"41922B",0.00011829,29.31948,"Y","Y","",""
215.50431712963,657.5099,2.060166,"41922B",0.00011829,29.3252,"Y","Y","",""
215.504375,658.5634,2.059762,"41922B",0.00011829,29.32765,"Y","Y","",""
215.50443287037,659.9799,2.059215,"41922B",0.00011829,29.33007,"Y","Y","",""
215.504490740741,661.6053,2.058815,"41922B",0.00011829,29.33423,"Y","Y","",""
215.504548611111,662.7072,2.05863,"41922B",0.00011829,29.33331,"Y","Y","",""
215.504606481481,664.1596,2.058543,"41922B",0.00011829,29.33548,"Y","Y","",""
215.504652777778,665.7434,2.057746,"41922B",0.00011829,29.34244,"Y","Y","",""
215.504710648148,667.3134,2.058775,"41922B",0.00011829,29.34556,"Y","Y","",""
215.504768518519,668.4474,2.058404,"41922B",0.00011829,29.34781,"Y","Y","",""
215.504826388889,669.5308,2.05849,"41922B",0.00011829,29.35198,"Y","Y","",""
215.504884259259,670.9133,2.057698,"41922B",0.00011829,29.35914,"Y","Y","",""
215.50494212963,672.1243,2.058095,"41922B",0.00011829,29.36452,"Y","Y","",""
