PIECETAG,decay_class,species,bag_tare,fresh_mass,dry_mass,new_bag_tare,moisture_content_g,moisture_percentage_g,measure_day,resp_start,resp_t0,resp_t1,resp_t2,resp_t3,resp_t4,samp_distance_m,fruiting_bods,ground_cont,termite,notes
40808A,2,COFL2,5.73,25.13,20.22,,4.91,0.25,8/1/2022,12:17:14,27.5,27.8,27.9,28,28.2,1.35,,,,
40808A,3,COFL2,,27.53,10.41,,17.12,0.62,8/1/2022,12:22:20,27.3,27.1,27.1,27.4,27.6,1.35,,,,
40391A,3,ACRU,5.73,32.13,9.72,,22.41,0.85,8/1/2022,12:27:04,28.1,28.2,28.4,28.6,28.8,,,,,
41871A,3,ACRU,6.99,27.64,22.04,,5.6,0.27,8/1/2022,12:31:46,27,28.9,29.2,29.4,29.6,"3.87 (3 to 4), 1.97 (4 to 5)",,,,
41871A,4,ACRU,6.98,22.63,11.62,,11.01,0.7,8/1/2022,12:36:25,28.7,29.1,29.5,29.6,29.7,"3.87 (3 to 4), 1.97 (4 to 5)",,,,
41871A,5,ACRU,7,25.47,10.62,,14.85,0.8,8/1/2022,12:40:46,29.4,29.3,29.4,29.8,30,"3.87 (3 to 4), 1.97 (4 to 5)",,,,
40983A,2,CATO6,5.72,39.28,14.22,,25.06,0.75,8/1/2022,12:45:20,28.1,28.5,28.6,28.7,28.7,,y,,,
41135A,4,LITU,7.02,36.69,13.09,,23.6,0.8,8/1/2022,12:50:10,27.1,28.1,28.3,28.2,28.5,2.6,,,,
41135A,5,LITU,7.01,31.03,12.75,,18.28,0.76,8/1/2022,12:54:42,28.3,28.9,29,29.3,29.5,2.6,,,,
41308B,4,ACRU,7,25.5,9.12,,16.38,0.89,8/1/2022,12:59:26,29.5,29.5,29.7,29.9,30.1,,y,,,
41133A,2,QUERCUS,6.94,33.05,16.01,,17.04,0.65,8/1/2022,13:03:51,29,29,29.2,29.4,29.6,,y,,,
41922B,4,LIST2,6.99,22.25,8.9,,13.35,0.87,8/1/2022,13:08:24,29.6,30.2,30.3,30.4,30.6,1,,,,
41922B,5,LIST2,7.05,24.43,9.45,,14.98,0.86,8/1/2022,13:12:57,29.8,30.2,30.4,30.6,30.6,1,,,,
40962B,5,COFL2,5.74,39.34,24.67,,14.67,0.44,8/1/2022,13:17:36,29.4,29.6,29.8,30,30,,,,,
41732A,4,QUERCUS,6.99,32.13,24.55,,7.58,0.3,8/1/2022,13:22:00,29.9,30.6,30.8,30.9,31,,,,,
41952A,4,ACRU,6.95,30.76,12.1,,18.66,0.78,8/1/2022,13:36:06,29.3,30,30.3,30.4,30.5,,,,,
41901A,4,QUERCUS,7.01,39.88,13.76,,26.12,0.79,8/1/2022,13:31:38,29,29,29.1,29,29.4,,,,,
41952B,3,ACRU,7,36.62,14.75,,21.87,0.74,8/1/2022,13:26:40,30.1,29.9,30,29.9,30.2,,,,,
42835A,4,CATO6,3.98,31.79,13.21,,18.58,0.67,8/2/2022,13:21:00,30.5,30.9,31,31.2,31.4,,,,,
42706A,5,LITU,3.85,28.98,16.32,7,19.66,0.78,8/2/2022,13:25:40,31.4,30.9,31.5,31.6,32.1,,,,,"bag broke, new bag for drying"
43741A,3,LIST2,3.81,35.14,12.27,,22.87,0.73,8/2/2022,13:30:40,29.1,30,31.4,31.8,31.9,4,,,,
43741A,2,LIST2,3.9,40.85,23.19,,17.66,0.48,8/2/2022,13:35:30,32,31.7,31.8,32.1,32.2,4,,,,
42528A,4,CATO6,3.93,29.09,8.86,,20.23,0.8,8/2/2022,13:40:10,30.8,30.3,30.4,30.8,31.4,2.5,y,,,
