"STEMTAG","PIECETAG","QUADNAME","QX.x","QY.x","SPCODE_all","SPCODE","DC.2021","BDS.2021","DBH.2014","DBH.2017","DBH.2019","DBH.2021","LENGTH.2021","LENGTH.2017","LENGTH.2014"
100286,"100286A",1034,7.2,7.3,"QURU","QUERCUS",3,"Log",56,NA,NA,NA,NA,23,NA
100782,"100782A",1059,5.7,4.3,"QURU","QUERCUS",4,"Log",44.7,NA,NA,NA,NA,15,NA
101443,"101443A",1077,6.2,7.9,"LITU","LITU",3,"Log",78.2,NA,NA,NA,NA,17.1,17.1
101467,"101467A",1079,8.1,5.2,"ACRU","ACRU",4,"Log",52.7,51.6,NA,43.2,2,NA,NA
10213,"10213A",133,7,7.2,"ACRU","ACRU",5,"Log",30.9,NA,NA,NA,NA,5,NA
10312,"10312A",142,6.8,5.4,"QURU","QUERCUS",4,"Log",38,36,NA,32,6,NA,NA
10470,"10470A",159,6,3.8,"LIST2","LIST2",3,"Log",NA,NA,NA,NA,NA,14,NA
10555,"10555B",173,6.2,2,"QUFA","QUERCUS",3,"Log",38.6,NA,NA,NA,NA,9,10.9
10610,"10610A",162,8.6,4.4,"QUERC","QUERCUS",5,"Log",68.9,NA,NA,NA,NA,7,NA
42528,"42528A",12210,3.1,2.6,"CATO6","CATO6",4,"Log",28,NA,NA,NA,NA,NA,19
42706,"42706A",1247,5.3,4.7,"LITU","LITU",5,"Log",46.5,NA,NA,NA,NA,14,NA
42835,"42835A",1258,9.7,5,"CATO6","CATO6",4,"Log",24.8,20,NA,NA,NA,NA,NA
43741,"43741A",121010,7.5,1.9,"LIST2","LIST2",3,"Log",37,36.3,NA,NA,NA,NA,NA
130003,"130003A",1331,9,0.4,"LIST2","LIST2",5,"Log",13.2,NA,NA,NA,NA,3,NA
130551,"130551A",1346,2.3,2.2,"QURU","QUERCUS",3,"Log",45.7,45.8,NA,43.6,5,NA,NA
130551,"130551A",1346,2.3,2.2,"QURU","QUERCUS",3,"Log",45.7,NA,NA,35.5,3.5,NA,NA
131333,"131333A",13510,5.2,7.9,"LIST2","LIST2",5,"Log",43.3,NA,NA,NA,NA,9,NA
132472,"132472A",13102,9.5,4.4,"LITU","LITU",4,"Log",36.4,33.3,NA,NA,NA,NA,NA
140638,"140638A",1438,7,9,"QUPA2","QUERCUS",5,"Log",59.1,NA,NA,NA,NA,7,NA
140835,"140835A",14110,5.8,7.9,"QUPA2","QUERCUS",4,"Log",49.3,74.2,NA,67.8,11,NA,13
140835,"140835A",14110,5.8,7.9,"QUPA2","QUERCUS",4,"Log",37.6,74.2,NA,67.8,11,NA,14.7
141521,"141521A",1468,6.5,4,"LIST2","LIST2",2,"Log",41.5,NA,NA,NA,NA,3,NA
150056,"150056A",1598,9.9,1.2,"LIST2","LIST2",4,"Log",22.4,NA,NA,NA,NA,9,NA
150650,"150650A",1589,4,0.2,"LITU","LITU",3,"Log",26.5,NA,NA,NA,NA,8,NA
161567,"161567A",1636,8.5,1,"QUPA2","QUERCUS",4,"Log",117,114.7,NA,100,20,NA,NA
20239,"20239A",242,3.1,0.6,"QURU","QUERCUS",4,"Log",70.4,NA,NA,NA,NA,20,NA
20488,"20488A",258,0.2,8.6,"COFL2","COFL2",2,"Log",13,NA,NA,NA,NA,5,NA
20587,"20587A",2510,9.2,7.8,"LIST2","LIST2",3,"Log",10.9,NA,NA,NA,NA,4.5,NA
20820,"20820A",282,6.8,4,"LIST2","LIST2",3,"Log",21.7,21.5,NA,NA,NA,NA,NA
20820,"20820B",282,6.8,4,"LIST2","LIST2",3,"Log",17.8,NA,NA,NA,NA,10,12.3
20887,"20887A",288,2.2,5.6,"CATO6","CATO6",5,"Log",42.3,NA,NA,NA,NA,12,NA
21253,"21253A",2109,1.1,1.1,"CATO6","CATO6",5,"Log",20.2,NA,NA,NA,NA,6,NA
21541,"21541A",244,0.4,4.7,"QURU","QUERCUS",4,"Log",39.7,38,NA,NA,NA,NA,NA
30050,"30050A",315,1.4,0.5,"LITU","LITU",5,"Log",34.7,NA,NA,NA,NA,10,10
30073,"30073A",316,8.4,7,"CATO6","CATO6",3,"Log",42.5,NA,NA,NA,NA,9.24,9.24
30154,"30154B",325,9,8.5,"LITU","LITU",4,"Log",15.5,NA,NA,NA,NA,NA,3.8
30154,"30154C",325,9,8.5,"LITU","LITU",4,"Log",12.8,NA,NA,NA,NA,NA,1.8
30424,"30424A",351,3.3,0.8,"QUAL","QUERCUS",3,"Log",93.4,NA,NA,NA,17,6.4,6.4
30606,"30606A",3210,8.3,0.4,"LITU","LITU",4,"Log",12.8,NA,NA,NA,NA,2,4.1
30618,"30618A",361,NA,NA,"LITU","LITU",3,"Log",45.3,NA,NA,39.2,10.3,NA,28
30624,"30624B",361,3.9,2.2,"LIST2","LIST2",4,"Log",25.7,NA,NA,NA,NA,14,14.8
30624,"30624A",361,3.9,2.2,"LIST2","LIST2",3,"Log",32.4,30.9,NA,NA,NA,NA,NA
30871,"30871A",358,NA,NA,"LIST2","LIST2",2,"Log",35.7,NA,NA,35.1,15,NA,13.3
31340,"31340A",389,2.3,9.4,"CATO6","CATO6",3,"Log",20.9,NA,NA,NA,NA,8,NA
40203,"40203B",431,0,3.1,"CATO6","CATO6",4,"Log",46.5,NA,NA,36,1,2.3,2.3
40203,"40203E",431,0,3.1,"CATO6","CATO6",3,"Log",39.1,NA,NA,19.5,3.4,2,2
