"Time_start","flux.CO2","R2.CO2","p.CO2","fDOY_end","PIECETAG","decay_class","SPCODE_all","species","bag_tare","fresh_mass","dry_mass","new_bag_tare","moisture_content_g","moisture_percentage_g","measure_day","resp_start","resp_t0","resp_t1","resp_t2","resp_t3","resp_t4","samp_distance_m","fruiting_bods","ground_cont","termite","notes","avg_respT","PIECETAG_DC"
212.470648148148,0.120143620632231,0.998949361383526,1.07607497664223e-320,212.473078703704,"40808A",2,"COFL2","COFL2",5.73,25.13,20.22,NA,4.91,0.25,"8/1/2022","12:17:14",27.5,27.8,27.9,28,28.2,"1.35","0","","0","",27.88,"40808A-2"
212.474189814815,0.182074018689682,0.999747879868108,0,212.47662037037,"40808A",3,"COFL2","COFL2",NA,27.53,10.41,NA,17.12,0.62,"8/1/2022","12:22:20",27.3,27.1,27.1,27.4,27.6,"1.35","0","","0","",27.3,"40808A-3"
212.477476851852,0.12688386403793,0.999611691473159,0,212.479907407407,"40391A",3,"ACRU","ACRU",5.73,32.13,9.72,NA,22.41,0.85,"8/1/2022","12:27:04",28.1,28.2,28.4,28.6,28.8,"","0","","0","",28.42,"40391A-3"
212.480740740741,0.096434282017273,0.999254728326265,0,212.483171296296,"41871A",3,"ACRU","ACRU",6.99,27.64,22.04,NA,5.6,0.27,"8/1/2022","12:31:46",27,28.9,29.2,29.4,29.6,"3.87 (3 to 4), 1.97 (4 to 5)","0","","0","",28.82,"41871A-3"
212.483969907407,0.338463934740572,0.999774909931333,0,212.486400462963,"41871A",4,"ACRU","ACRU",6.98,22.63,11.62,NA,11.01,0.7,"8/1/2022","12:36:25",28.7,29.1,29.5,29.6,29.7,"3.87 (3 to 4), 1.97 (4 to 5)","0","","0","",29.32,"41871A-4"
212.486990740741,0.168004530832731,0.999572644474639,0,212.489421296296,"41871A",5,"ACRU","ACRU",7,25.47,10.62,NA,14.85,0.8,"8/1/2022","12:40:46",29.4,29.3,29.4,29.8,30,"3.87 (3 to 4), 1.97 (4 to 5)","0","","0","",29.58,"41871A-5"
212.490162037037,0.350520884127593,0.999873117808848,0,212.492592592593,"40983A",2,"CATO6","CATO6",5.72,39.28,14.22,NA,25.06,0.75,"8/1/2022","12:45:20",28.1,28.5,28.6,28.7,28.7,"","1","","0","",28.52,"40983A-2"
212.493518518519,0.310422789612393,0.999890343500321,0,212.495949074074,"41135A",4,"LITU","LITU",7.02,36.69,13.09,NA,23.6,0.8,"8/1/2022","12:50:10",27.1,28.1,28.3,28.2,28.5,"2.6","0","","0","",28.04,"41135A-4"
212.496666666667,0.117004023610902,0.999422453822718,0,212.499097222222,"41135A",5,"LITU","LITU",7.01,31.03,12.75,NA,18.28,0.76,"8/1/2022","12:54:42",28.3,28.9,29,29.3,29.5,"2.6","0","","0","",29,"41135A-5"
212.499953703704,0.0963716026799696,0.998050715277585,5.66631148966898e-292,212.502384259259,"41308B",4,"ACRU","ACRU",7,25.5,9.12,NA,16.38,0.89,"8/1/2022","12:59:26",29.5,29.5,29.7,29.9,30.1,"","1","","0","",29.74,"41308B-4"
212.503020833333,0.352947483098028,0.999897625370074,0,212.505451388889,"41133A",2,"QUAL","QUERCUS",6.94,33.05,16.01,NA,17.04,0.65,"8/1/2022","13:03:51",29,29,29.2,29.4,29.6,"","1","","0","",29.24,"41133A-2"
